DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-10-2014,231.1,233.55,219.2,220.85,153536,6886
13-10-2014,228.7,238,225.4,231,222558,10331
10-10-2014,212.5,242.05,209.9,231.05,941546,34751
09-10-2014,212.85,216,210.9,212.15,72794,3645
08-10-2014,218.9,218.9,207.75,208.5,82531,3911
07-10-2014,219.5,222.85,214.85,216.25,63961,2822
01-10-2014,225,225,216.1,217.45,97931,4370
30-09-2014,231.8,232.3,222.65,223.5,116227,5173
29-09-2014,220.1,235,220.1,228.3,199052,8065
26-09-2014,203,222,198.3,217.45,300470,12748
25-09-2014,228,228.1,202.9,203.4,178942,7883
24-09-2014,233.1,235.65,224.7,225.4,84361,4052
23-09-2014,234,243.9,231.25,232.85,181742,7189
22-09-2014,240.5,242,229.5,233.55,126536,5225
19-09-2014,244,246,239,240.5,92206,3643
18-09-2014,242.85,248,241.2,242.5,139996,5733
17-09-2014,243.9,248.1,240.35,241.75,100732,4269
16-09-2014,255,260.85,242.1,244.05,221313,9346
15-09-2014,252.5,255.5,250,251.45,100481,4133
12-09-2014,257.75,258.85,251.1,252.1,106745,4565
11-09-2014,256,262,255.2,257.05,108345,4931
10-09-2014,254,260.25,250,254.25,128596,5325
09-09-2014,256,259.35,252.1,253.35,119720,5008
08-09-2014,262.8,265,254,255.35,117544,5277
05-09-2014,256.1,266,253.2,260.3,201217,9939
04-09-2014,251.35,258.8,247.9,255.2,222448,10178
03-09-2014,250,254.5,248.55,250.55,139339,5414
02-09-2014,255,259.8,250,251.85,146052,6382
01-09-2014,254,259.65,252,254.8,115614,5258
28-08-2014,263,265.4,252.8,254.2,281739,12195
27-08-2014,259.95,265,250.25,261.5,501857,19575
26-08-2014,270,272,259,259,170724,6098
25-08-2014,273,280.7,270,272.6,578974,18181
22-08-2014,258.4,267.75,257.1,267.35,643231,15255
21-08-2014,246,255.7,246,255,481934,14549
20-08-2014,249,254.25,237,243.55,505395,19861
19-08-2014,263,266.8,248.25,248.25,400545,13425
18-08-2014,276,276,260.4,261.3,309615,15765
